movementId,pokemonType,power,energyDelta,durationMs,damageWindowStartMs,damageWindowEndMs
AVALANCHE,Ice,90,-50,2700,1700,2100
BRAVE_BIRD,Flying,90,-100,2000,1000,1600
SKY_ATTACK,Flying,70,-50,2000,1500,1700
SAND_TOMB,Ground,80,-50,4000,1700,4000
ROCK_BLAST,Rock,50,-33,2100,1600,2000
SILVER_WIND,Bug,70,-33,3700,1700,3500
NIGHT_SHADE,Ghost,60,-50,2600,2100,2500
GYRO_BALL,Steel,80,-50,3300,3000,3300
HEAVY_SLAM,Steel,70,-50,2100,1500,1900
OVERHEAT,Fire,160,-100,4000,2600,3800
GRASS_KNOT,Grass,90,-50,2600,1700,2600
ENERGY_BALL,Grass,90,-50,3900,3000,3800
FUTURESIGHT,Psychic,120,-100,2700,1400,2700
MIRROR_COAT,Psychic,60,-50,2600,2300,2500
OUTRAGE,Dragon,110,-50,3900,2500,3700
CRUNCH,Dark,70,-33,3200,1300,3000
FOUL_PLAY,Dark,70,-50,2000,1700,1900
